tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1054,23:13.8,40:48.4,3202,Newport PATH,40.7272235,-74.0337589,3279,Dixon Mills,40.72163014,-74.04996783,42285,Subscriber,1987,1
228,23:59.4,27:47.5,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,42166,Subscriber,1985,1
248,24:22.0,28:30.5,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29277,Subscriber,1981,0
222,25:34.8,29:17.2,3192,Liberty Light Rail,40.7112423,-74.0557013,3268,Lafayette Park,40.71346383,-74.06285852,42212,Subscriber,1986,1
463,26:28.9,34:12.5,3640,Journal Square,40.73367,-74.0625,3203,Hamilton Park,40.72759597,-74.04424731,29663,Subscriber,1991,1
758,29:34.9,42:13.8,3213,Van Vorst Park,40.71848892,-74.04772663,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42151,Subscriber,1986,1
129,29:45.5,31:54.6,3211,Newark Ave,40.72152515,-74.04630454,3273,Manila & 1st,40.72165072,-74.04288411,42289,Subscriber,1973,1
628,32:39.1,43:07.1,3640,Journal Square,40.73367,-74.0625,3191,Union St,40.7182113,-74.0836394,29680,Subscriber,1983,1
693,35:08.8,46:42.3,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,29448,Subscriber,1991,1
346,35:23.6,41:10.3,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42438,Subscriber,1968,1
544,35:57.1,45:01.4,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958612,-74.04311746,42130,Subscriber,1982,1
543,35:57.5,45:01.5,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958612,-74.04311746,42113,Subscriber,1982,2
606,37:29.5,47:35.9,3275,Columbus Drive,40.7183552,-74.03891444,3214,Essex Light Rail,40.7127742,-74.0364857,42107,Subscriber,1989,1
413,38:51.4,45:44.8,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,42437,Subscriber,1988,2
494,41:16.0,49:30.5,3186,Grove St PATH,40.71958612,-74.04311746,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42400,Subscriber,1993,1
250,42:23.6,46:33.9,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,42442,Subscriber,1986,1
222,45:21.3,49:03.6,3279,Dixon Mills,40.72163014,-74.04996783,3483,Montgomery St,40.71942,-74.05099,42168,Subscriber,1984,1
303,46:19.7,51:23.1,3202,Newport PATH,40.7272235,-74.0337589,3187,Warren St,40.7211236,-74.03805095,42178,Subscriber,1987,1
467,46:36.5,54:24.0,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,42438,Subscriber,1979,1
641,48:40.8,59:22.4,3187,Warren St,40.7211236,-74.03805095,3279,Dixon Mills,40.72163014,-74.04996783,42365,Subscriber,1991,2
307,48:45.5,53:53.4,3279,Dixon Mills,40.72163014,-74.04996783,3211,Newark Ave,40.72152515,-74.04630454,42252,Subscriber,1987,2
941,50:30.5,06:12.5,3186,Grove St PATH,40.71958612,-74.04311746,3212,Christ Hospital,40.73478582,-74.05044364,42130,Subscriber,1978,1
