tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
61,35:26.6,36:28.1,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29499,Subscriber,1981,0
243,35:32.8,39:36.2,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29472,Subscriber,1990,1
388,35:59.6,42:28.1,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,26431,Subscriber,1992,1
327,36:04.8,41:32.6,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,26162,Subscriber,1976,1
280,40:45.1,45:25.6,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,26214,Subscriber,1988,1
263,40:55.6,45:19.4,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958612,-74.04311746,26284,Subscriber,1968,1
356,40:59.0,46:55.2,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29206,Subscriber,1981,0
402,42:10.8,48:53.0,3279,Dixon Mills,40.72163014,-74.04996783,3639,Harborside,40.7192517,-74.034234,29652,Subscriber,1980,1
103,43:38.5,45:21.5,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,29499,Subscriber,1989,1
465,43:59.0,51:44.8,3211,Newark Ave,40.72152515,-74.04630454,3202,Newport PATH,40.7272235,-74.0337589,29283,Subscriber,1976,1
251,44:53.7,49:05.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3187,Warren St,40.7211236,-74.03805095,29291,Subscriber,1967,1
371,45:05.5,51:17.1,3638,Washington St,40.7242941,-74.0354826,3267,Morris Canal,40.71241882,-74.03852552,26216,Subscriber,1993,1
509,45:08.2,53:37.9,3640,Journal Square,40.73367,-74.0625,3280,Astor Place,40.7192822,-74.07126188,29492,Subscriber,1988,1
406,45:57.1,52:44.0,3212,Christ Hospital,40.73478582,-74.05044364,3209,Brunswick St,40.7241765,-74.0506564,29466,Subscriber,1984,1
344,47:02.4,52:46.8,3202,Newport PATH,40.7272235,-74.0337589,3187,Warren St,40.7211236,-74.03805095,29502,Subscriber,1969,1
141,47:16.3,49:38.1,3185,City Hall,40.7177325,-74.043845,3273,Manila & 1st,40.72165072,-74.04288411,29661,Subscriber,1994,1
245,50:04.4,54:10.1,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29670,Subscriber,1980,2
196,50:49.4,54:06.1,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29619,Subscriber,1988,1
521,50:56.4,59:38.1,3275,Columbus Drive,40.7183552,-74.03891444,3199,Newport Pkwy,40.7287448,-74.0321082,29526,Subscriber,1986,1
288,51:10.8,55:58.9,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.7127742,-74.0364857,26284,Subscriber,1987,1
149,53:09.9,55:39.1,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,29214,Subscriber,1991,2
166,53:09.9,55:56.8,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,29209,Subscriber,1970,2
117,53:33.1,55:30.4,3273,Manila & 1st,40.72165072,-74.04288411,3272,Jersey & 3rd,40.72333159,-74.04595256,29661,Subscriber,1981,1
98,54:12.5,55:51.3,3267,Morris Canal,40.71241882,-74.03852552,3214,Essex Light Rail,40.7127742,-74.0364857,29666,Subscriber,1981,0
128,54:23.7,56:32.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,29472,Subscriber,1992,2
227,55:48.1,59:36.0,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,26254,Subscriber,1978,1
166,56:04.8,58:51.0,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,26173,Subscriber,1995,1
197,56:19.9,59:37.6,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,26265,Subscriber,1984,1
